date,holiday
2021-01-01,New Year
2021-01-07,Orthodox Christmas
2021-01-13,Old New Year
2021-01-19,Baptizing - Sacred Epiphany
2021-01-25,Students day
2021-01-25,Cyber Monday Sale
2021-02-14,Valentines Day
2021-02-23,Defender of the Fatherland Day
2021-03-08,International Women's Day
2021-04-01,Fool's day
2021-05-01,Spring and Labor Day
2021-05-09,Victory day
2021-06-12,Independence Day
2021-09-01,Back to School
2021-11-04,Unity Day
2021-11-26,Black Friday
2022-01-01,New Year
2022-01-07,Orthodox Christmas
2022-01-13,Old New Year
2022-01-19,Baptizing - Sacred Epiphany
2022-01-25,Students day
2022-01-31,Cyber Monday Sale
2022-02-14,Valentines Day
2022-02-23,Defender of the Fatherland Day
2022-03-08,International Women's Day
2022-04-01,Fool's day
2022-05-01,Spring and Labor Day
2022-05-09,Victory day
2022-06-12,Independence Day
2022-09-01,Back to School
2022-11-04,Unity Day
2021-11-25,Black Friday
2023-01-01,New Year
2023-01-07,Orthodox Christmas
2023-01-13,Old New Year
2023-01-19,Baptizing - Sacred Epiphany
2023-01-25,Students day
2023-01-30,Cyber Monday Sale
2023-02-14,Valentines Day
2023-02-23,Defender of the Fatherland Day
2023-03-08,International Women's Day
2023-04-01,Fool's day
2023-05-01,Spring and Labor Day
2023-05-09,Victory day
2023-06-12,Independence Day
2023-09-01,Back to School
2023-11-04,Unity Day
2023-11-24,Black Friday